,BEGINPROG,PROGNAME,ENDLINE,ENDPROG,VARIABLES,EPSILON,VARNAME,NUMBER,COMMA,ASSIGN,LPAREN,RPAREN,PLUS,MINUS,TIMES,DIVIDE,IF,THEN,ENDIF,ELSE,DO,AND,OR,NOT,EQ,GEQ,GT,LEQ,LT,NEQ,WHILE,ENDWHILE,FOR,TO,ENDFOR,PRINT,READ
Program,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variables,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VarList,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VarListEnd,,,6,,,6,,,5,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Code,,,8,8,,8,7,,,,,,,,,,7,,8,,,,,,,,,,,,7,8,7,,8,7,7
Instruction,,,,,,,9,,,,,,,,,,10,,,,,,,,,,,,,,11,,12,,,13,14
Assign,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExprArith,,,,,,,16,16,,,16,,,16,,,,,,,,,,,,,,,,,,,,,,,
HpProd,,,,,,,17,17,,,17,,,17,,,,,,,,,,,,,,,,,,,,,,,
HpExpr,,,19,,,19,,,,,,19,,,18,18,,19,,,19,,,,19,19,19,19,19,19,,,,19,,,
LpExpr,,,21,,,21,,,,,,21,20,20,,,,21,,,21,,,,21,21,21,21,21,21,,,,21,,,
SimpleExpr,,,,,,,22,23,,,24,,,25,,,,,,,,,,,,,,,,,,,,,,,
LpOp,,,,,,,,,,,,,26,27,,,,,,,,,,,,,,,,,,,,,,,
HpOp,,,,,,,,,,,,,,,28,29,,,,,,,,,,,,,,,,,,,,,
If,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,
IfElse,,,,,,32,,,,,,,,,,,,,32,31,,,,,,,,,,,,,,,,,
Cond,,,,,,,33,33,,,,,,33,,,,,,,,,,33,,,,,,,,,,,,,
Pcond,,,,,,,34,34,,,34,,,34,,,,,,,,,,34,,,,,,,,,,,,,
HpCond,,,,,,36,,,,,,,,,,,,36,,,36,35,,,,,,,,,,,,,,,
LpCond,,,,,,38,,,,,,,,,,,,38,,,38,,37,,,,,,,,,,,,,,
SimpleCond,,,,,,,40,40,,,40,,,40,,,,,,,,,,39,,,,,,,,,,,,,
Comp,,,,,,,,,,,,,,,,,,,,,,,,,41,42,43,44,45,46,,,,,,,
While,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,
For,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,
Print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,
Read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50
ExpList,,,,,,,51,51,,,51,,,51,,,,,,,,,,,,,,,,,,,,,,,
ExpListEnd,,,,,,53,,,52,,,53,,,,,,,,,,,,,,,,,,,,,,,,,
